CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD,SNID,logMstar,z_use,mu_obs,mu_lcdm_67p4,mu_resid_67p4,mu_resid_centered,H0_proxy_centered,host_name,Reff_kpc,stellar_age_Gyr,sigma_v_km_s,logsSFR,metallicity,morphology,notes,D_reg,logD_reg,F_fill,G_sat,G_overflow,G_absorb,well_regime
2011fe,51,0.00122,0.00084,0.00122,2e-05,0.00082,2e-05,9.74571,1.51621,28.9987,1.51645,29.177,1,0,-0.1076,0.04008,-0.548188,0.13373,9.58436,0.0327221,2.63181,0.0793177,0.00011378,-0.00052525,-0.00272765,210.774,54.2737,-999,-999,-9.0,0.0,250,0.00758935,10.677,-9.0,55815.0,0.1071,36,26.8859,0.86447,0.0991,1.496,0.0381,0.005,1.0,0.003,2011fe,10.677,0.00122,28.9987,28.67465445859984,0.3240455414001602,0.5041923032901874,53.4344613581299,M101,6.9,5.0,50.0,-9.5,8.8,spiral/Scd,Large spiral; bulgeless. Radial age gradient; central region mature.,0.5893007199896173,-0.22966302829679583,0.5124354086866237,0.009193120082574866,0.0,0.9908068799174251,filling/absorbing
2011fe,56,0.00122,0.00084,0.00122,2e-05,0.00082,2e-05,9.80286,1.51723,29.0559,1.51747,29.177,1,0,-0.032895,0.038463,-0.380481,0.0861,9.78448,0.0352442,2.1888,0.0710511,-0.000443845,-0.00150198,-0.00220084,210.774,54.2737,-999,-999,-9.0,0.0,250,0.00758935,10.677,0.0,55815.2,0.0579,101,88.3064,0.81222,0.0971,1.496,-0.0252,0.003,1.0,0.004,2011fe,10.677,0.00122,29.0559,28.67465445859984,0.3812455414001618,0.5613923032901891,52.0452903689892,M101,6.9,5.0,50.0,-9.5,8.8,spiral/Scd,Large spiral; bulgeless. Radial age gradient; central region mature.,0.5893007199896173,-0.22966302829679583,0.5124354086866237,0.009193120082574866,0.0,0.9908068799174251,filling/absorbing
2012cg,51,0.00256,0.00084,0.00256,2e-05,0.00144,2e-05,11.4703,0.781906,30.7233,0.782372,30.8433,1,0,0.10073,0.018231,0.49196,0.023545,11.8161,0.0237119,0.33695,0.00735879,-6.06025e-05,9.35054e-06,-0.000110842,186.803,9.4203,-999,-999,-9.0,0.0,250,0.0177724,9.633,0.002,56082.4,0.0278,165,233.5,0.000358347,0.0399,0.7134,0.0545,0.019,1.0,0.036,2012cg,9.633,0.00256,30.7233,30.286303903995343,0.4369960960046519,0.6171428578946792,50.726082647360805,NGC 4424,2.6,5.0,50.0,-10.0,8.7,Sa/disturbed,Truncated/compact starburst/merger remnant.,0.2885857238938754,-0.5397251569135774,0.2509441077338047,6.266308961516478e-05,0.0,0.9999373369103849,filling/absorbing
2012cg,56,0.00256,0.00084,0.00256,2e-05,0.00144,2e-05,11.4919,0.798612,30.7449,0.799068,30.8433,1,0,0.12247,0.03903,0.71261,0.083554,11.8801,0.0359611,0.31765,0.0105211,0.000222656,-0.000136637,-0.000344022,186.803,9.4203,-999,-999,-9.0,0.0,250,0.0177724,9.633,0.004,56082.4,0.0667,55,100.122,0.000193186,0.0931,0.7134,0.0622,0.028,1.0,0.04,2012cg,9.633,0.00256,30.7449,30.286303903995343,0.4585960960046549,0.6387428578946821,50.224003076206124,NGC 4424,2.6,5.0,50.0,-10.0,8.7,Sa/disturbed,Truncated/compact starburst/merger remnant.,0.2885857238938754,-0.5397251569135774,0.2509441077338047,6.266308961516478e-05,0.0,0.9999373369103849,filling/absorbing
2001el,50,0.00333,0.00084,0.00357,1e-05,0.00379,1e-05,12.2481,0.590389,31.5011,0.591006,31.2859,1,0,0.074105,0.025318,-0.131083,0.026693,12.4717,0.0305106,0.18422,0.00517671,-0.000115412,1.38906e-05,-0.000102774,56.1275,-44.6398,-999,-999,-9.0,71.5597,250,0.012219,11.28,-9.0,52183.0,0.0329,97,493.823,0.0,0.0584,0.5487,-0.0773,0.005,1.0,0.015,2001el,11.28,0.00333,31.5011,30.858615434008343,0.6424845659916585,0.8226313278816857,46.145954227493185,NGC 1448,3.0,7.0,220.0,-11.2,8.9,early/compact,high-mass mature host,11.022537927745466,1.0422816018764258,9.584815589343885,0.9999998654407336,0.8956681903949973,1.345592663959394e-07,overflowing
2011by,51,0.00349,0.00084,0.00369,2e-05,0.00313,2e-05,12.5403,0.55206,31.7933,0.55272,31.6336,1,0,0.011283,0.018909,-0.334036,0.044392,12.627,0.0234355,0.15967,0.00344642,-3.73833e-05,-2.98895e-05,-5.50824e-05,178.94,55.3256,-999,-999,-9.0,61.7743,250,0.0120014,10.417,0.002,55690.9,0.0344,79,85.1227,0.29882,0.0423,0.5236,-0.0499,0.003,1.0,0.007,2011by,10.417,0.00349,31.7933,30.960789308148566,0.8325106918514322,1.0126574537414594,42.27936011637878,NGC 3972,3.0,3.0,100.0,-10.0,8.7,spiral/Sbc,Moderate spiral. Moderate maturity.,0.7950274718045945,-0.09961786424037447,0.6913282363518214,0.07017633197950923,0.0,0.9298236680204908,filling/absorbing
1998aq,50,0.00349,0.00084,0.00369,1e-05,0.00313,1e-05,12.2437,0.544824,31.4967,0.545492,31.7216,1,0,-0.118814,0.025128,-0.45159,0.036414,12.0503,0.0298815,0.27156,0.00747395,-9.3684e-05,6.31794e-06,-0.000154448,179.108,55.1287,-999,-999,-9.0,61.7743,250,0.0121395,10.199,-9.0,50931.4,0.0309,88,116.844,0.021547,0.0567,0.5236,0.055,0.005,1.0,0.003,1998aq,10.199,0.00349,31.4967,30.960789308148566,0.5359106918514343,0.7160574537414615,48.46725300756247,NGC 3982,3.8,4.5,73.0,-10.0,8.7,Sbc/spiral,Face-on spiral; Seyfert 2. Golden calibrator.,0.6018178765481896,-0.2205349160128112,0.5233198926505997,0.01063475176232598,0.0,0.989365248237674,filling/absorbing
1990N,50,0.00359,0.00084,0.00462,2e-05,0.00355,2e-05,12.4439,0.550332,31.6969,0.550993,31.8115,1,0,-0.00619,0.025918,0.62892,0.066107,12.4026,0.0336097,0.19631,0.00607695,7.88015e-05,-7.6061e-05,-0.00013076,190.736,13.2565,-999,-999,-9.0,308.577,250,0.0222809,9.802,-9.0,48083.0,0.0418,41,52.1451,0.11385,0.0568,0.509,0.0183,0.007,1.0,0.012,1990N,9.802,0.00359,31.6969,31.02230182585113,0.6745981741488691,0.8547449360388963,45.46852954554254,NGC 4639,2.6,8.0,100.0,-10.0,8.7,spiral/SABbc,Barred spiral in Virgo; old stellar population.,1.1218242439849038,0.04992482140632879,0.9754993425955686,0.45669860641177057,0.0,0.5433013935882294,near-capacity/saturated
2013dy,51,0.00432,0.00084,0.00293,0.00012,0.00394,0.00012,12.246,0.513549,31.499,0.514259,31.6272,1,0,0.073845,0.025997,0.87178,0.02388,12.4377,0.081236,0.19007,0.0142214,-0.000232882,0.000107456,-0.000316314,334.573,40.5693,-999,-999,-9.0,-413.1,250,0.13193,9.131,0.002,56501.4,0.0283,180,297.453,8.31936e-08,0.0439,0.4231,0.0396,0.016,1.0,0.03,2013dy,9.131,0.00432,31.499,31.425469657484896,0.0735303425151023,0.2536771044051296,59.968678091686435,NGC 7250,1.8,2.0,40.0,-9.4,8.5,spiral/Sdm,Late-type star-forming dwarf-like host.,0.062269480546293075,-1.205724757159915,0.05414737438808094,1.3647145342165338e-09,0.0,0.9999999986352854,filling/absorbing
2013dy,56,0.00432,0.00084,0.00293,0.00012,0.00394,0.00012,12.3081,0.530151,31.5611,0.530838,31.6272,1,0,0.068782,0.046197,1.17027,0.13726,12.4484,0.0938242,0.18821,0.0162642,0.000730534,-0.000231517,-0.000543144,334.573,40.5693,-999,-999,-9.0,-413.1,250,0.13193,9.131,0.004,56501.5,0.0911,36,52.8999,0.0343241,0.0998,0.4231,0.0479,0.018,1.0,0.029,2013dy,9.131,0.00432,31.5611,31.425469657484896,0.1356303425151033,0.3157771044051305,58.27797806460769,NGC 7250,1.8,2.0,40.0,-9.4,8.5,spiral/Sdm,Late-type star-forming dwarf-like host.,0.062269480546293075,-1.205724757159915,0.05414737438808094,1.3647145342165338e-09,0.0,0.9999999986352854,filling/absorbing
2012fr,56,0.00483,0.00085,0.0046,0.00015,0.00492,0.00015,11.8801,0.446066,31.1331,0.446882,31.3773,1,0,0.047577,0.041982,1.49515,0.133,11.7919,0.039793,0.34454,0.0126276,0.000876092,-0.000644193,-0.000439198,53.4,-36.1271,-999,-999,-9.0,-67.5086,250,0.0175479,10.732,0.0,56244.2,0.1,31,33.5725,0.34373,0.1003,0.3831,-0.0671,0.006,1.0,0.011,2012fr,10.732,0.00483,31.1331,31.668639060631342,-0.5355390606313435,-0.3553922987413163,79.38498303051456,NGC 1365,10.8,6.5,150.0,-10.0,8.7,massive barred spiral/Fornax,Massive barred Fornax spiral; complex radial age/kinematic structure. Global Reff includes large disk.,1.95710554023032,0.29161424635485605,1.7018309045481044,0.9763840280403302,0.40265838618545136,0.0236159719596698,overflowing
2012fr,5,0.00483,0.00085,0.0046,0.00015,0.00492,0.00015,11.9704,0.409689,31.2234,0.410577,31.3773,1,0,-0.036256,0.020595,1.1575,0.035649,11.711,0.0239548,0.3712,0.00818995,-0.000210546,2.96338e-05,-0.000140915,53.4,-36.1271,-999,-999,-9.0,-67.5086,250,0.0175479,10.732,-9.0,56244.5,0.0277,280,329.612,0.0221169,0.0477,0.3831,-0.029,0.002,1.0,0.004,2012fr,10.732,0.00483,31.2234,31.668639060631342,-0.4452390606313408,-0.2650922987413135,76.15148140962424,NGC 1365,10.8,6.5,150.0,-10.0,8.7,massive barred spiral/Fornax,Massive barred Fornax spiral; complex radial age/kinematic structure. Global Reff includes large disk.,1.95710554023032,0.29161424635485605,1.7018309045481044,0.9763840280403302,0.40265838618545136,0.0236159719596698,overflowing
